name,openset
samplenew3_00038185,"['humorous', 'pleasant', 'joyful', 'kind', 'relaxed', 'happy', 'satisfied']"
samplenew3_00038791,"['serious', 'focus', 'emphasis']"
samplenew3_00039259,"['doubtful', 'confused', 'upset']"
samplenew3_00039607,"['serious', 'nervous', 'determined', 'excited']"
samplenew3_00040410,"['concern', 'care', 'anxiety', 'worry']"
samplenew3_00040523,"['confused', 'helpless', 'nervous', 'surprised', 'anxious']"
samplenew3_00040931,"['worried', 'suspicious', 'confused', 'concerned', 'shocked', 'surprised']"
samplenew3_00041090,"['satisfied', 'bliss', 'easy', 'pleasure', 'joyful', 'calm', 'happy', 'comfortable', 'serene', 'enjoy', 'relax']"
samplenew3_00041388,"['sarcastic', 'angry', 'helpless', 'surprised', 'excited']"
samplenew3_00041464,"['serious', 'determined']"
samplenew3_00042084,"['concern', 'soothe', 'comfort', 'worry', 'care']"
samplenew3_00042360,"['anxious', 'caring', 'worried', 'concerned']"
samplenew3_00043190,"['worried', 'confused', 'concerned', 'scared', 'anxious']"
samplenew3_00044584,"['uneasy', 'worried', 'afraid', 'concerned', 'anxious']"
samplenew3_00045003,"['serious', 'determined', 'cautious', 'excited']"
samplenew3_00045907,"['doubt', 'thinking', 'suspicion', 'serious', 'focus', 'confusion']"
samplenew3_00045966,"['sad', 'grief', 'uneasy', 'fear']"
samplenew3_00047626,"['delighted', 'pleasant', 'gentle', 'joyful', 'kind', 'happy', 'friendly', 'positive']"
samplenew3_00047652,"['worried', 'troubled', 'concerned', 'displeased', 'anxious']"
samplenew3_00048578,"['doubt', 'curiosity', 'confusion', 'surprise', 'incomprehension']"
samplenew3_00048823,"['concern', 'doubt', 'suspicion', 'serious', 'worry', 'confusion']"
samplenew3_00049042,"['worried', 'afraid', 'concerned', 'guilt', 'nervous', 'anxious']"
samplenew3_00049640,"['serious', 'sad', 'nervous']"
samplenew3_00051156,"['comforting', 'thinking']"
samplenew3_00051356,"['sad', 'nervous', 'surprised', 'worried']"
samplenew3_00052078,"['serious', 'confused', 'doubt']"
samplenew3_00052226,"['sad', 'affectionate', 'shocked', 'grateful', 'admiring', 'surprised']"
samplenew3_00052531,"['discontent', 'irritation', 'doubt']"
samplenew3_00053551,"['serious', 'determined', 'refuse']"
samplenew3_00054049,"['serious', 'focused', 'thinking', 'worry']"
samplenew3_00054802,"['serious', 'solemn', 'focused', 'calm']"
samplenew3_00055241,"['determined', 'worried', 'concerned', 'serious', 'sincere', 'firm']"
samplenew3_00055533,"['serious', 'deep in thought', 'slightly nervous']"
samplenew3_00056037,"['delighted', 'complimentary', 'joyful', 'friendly', 'happy', 'satisfied']"
samplenew3_00056050,"['gentle', 'responsible', 'caring', 'cautious', 'calm']"
samplenew3_00056147,"['enthusiastic', 'delighted', 'love', 'joyful', 'happy', 'excited']"
samplenew3_00056404,"['delighted', 'joyful', 'friendly', 'happy', 'pleased']"
samplenew3_00056512,"['worried', 'concerned', 'serious', 'caring', 'anxious']"
samplenew3_00056776,"['concern', 'curiosity', 'worry', 'nervousness', 'confusion', 'surprise']"
samplenew3_00056988,"['disappointment', 'dissatisfaction', 'complaint']"
samplenew3_00057128,"['curious', 'confused', 'doubtful', 'joyful', 'mischievous', 'happy']"
samplenew3_00057624,"['focused', 'surprised', 'amazed']"
samplenew3_00057659,"['serious', 'eager', 'concerned', 'worried']"
samplenew3_00057707,"['delighted', 'worried', 'concerned', 'serious', 'joyful', 'caring', 'happy']"
samplenew3_00057796,"['nervous', 'confused', 'surprised', 'worried']"
samplenew3_00057807,"['eagerness', 'sense of urgency', 'aggressiveness', 'urgent', 'nervous', 'excited']"
samplenew3_00057986,"['serious', 'resolute', 'determined', 'confident']"
samplenew3_00058321,"['sad', 'worried', 'melancholy', 'concerned', 'anxious']"
samplenew3_00058384,"['focus', 'doubt', 'curiosity', 'confusion']"
samplenew3_00058579,"['serious', 'sad', 'heavy']"
samplenew3_00060047,"['pleasant', 'joyful', 'relaxed', 'happy', 'comfortable']"
samplenew3_00061121,"['concern', 'guess', 'doubt', 'curiosity', 'confusion']"
samplenew3_00061827,"['worried', 'angry', 'concerned', 'serious', 'caring', 'displeased']"
samplenew3_00061957,"['shocked', 'confused', 'surprised']"
samplenew3_00062270,"['curious', 'delighted', 'joyful', 'relaxed', 'mischievous', 'happy', 'excited']"
samplenew3_00062824,"['curious', 'confused', 'angry', 'thinking', 'serious', 'displeased']"
samplenew3_00063079,"['curious', 'confused', 'doubtful', 'concerned', 'calm']"
samplenew3_00063436,"['serious', 'doubt', 'probe']"
samplenew3_00063735,"['contemplation', 'doubt', 'curiosity', 'confusion', 'perplexity', 'surprise']"
samplenew3_00063772,"['serious', 'calm']"
samplenew3_00063931,"['perplexed', 'surprised', 'confused', 'serious']"
samplenew3_00065552,"['determined', 'angry', 'hostile', 'serious', 'confident']"
samplenew3_00066371,"['delighted', 'easy', 'joyful', 'happy', 'friendly', 'relax']"
samplenew3_00067666,"['shocked', 'surprised', 'disdain']"
samplenew3_00067687,"['confused', 'angry', 'furious', 'unsatisfied', 'excited']"
samplenew3_00068016,"['curious', 'enthusiastic', 'pleasant', 'delighted', 'puzzled', 'joyful', 'caring', 'happy', 'friendly', 'respectful']"
samplenew3_00068651,"['sadness', 'melancholy', 'calmness']"
samplenew3_00068744,"['concern', 'anxiety', 'worry']"
samplenew3_00070019,"['uneasy', 'serious', 'requesting', 'nervous', 'pleading', 'anxious']"
samplenew3_00070557,"['concern', 'worry', 'serious', 'professional', 'cautious']"
samplenew3_00070631,"['confused', 'doubtful']"
samplenew3_00070880,"['sad', 'frustrated', 'angry', 'helpless', 'displeased', 'excited']"
samplenew3_00071475,"['concern', 'anxiety', 'curiosity', 'worry']"
samplenew3_00073835,"['concern', 'sadness', 'care', 'heartache', 'sympathy', 'pain']"
samplenew3_00074802,"['pleasant', 'gentle', 'joyful', 'relaxed', 'kind', 'happy', 'proud', 'satisfied']"
samplenew3_00074901,"['joking', 'joyful', 'friendly', 'happy', 'relax']"
samplenew3_00075337,"['serious', 'determination', 'resolute', 'firm']"
samplenew3_00075351,"['concern', 'unease', 'anxiety', 'doubt', 'curiosity', 'worry', 'confusion']"
samplenew3_00075480,"['happy', 'friendly', 'relax']"
samplenew3_00077957,"['anger', 'determination', 'seriousness', 'excitement']"
samplenew3_00078009,"['nervous', 'eager', 'anxious']"
samplenew3_00079253,"['distressed', 'troubled', 'worried']"
samplenew3_00081916,"['nervous', 'uneasy']"
samplenew3_00081969,"['concern', 'fear', 'sadness', 'worry', 'pain', 'grief']"
samplenew3_00082522,"['concern', 'worry', 'sadness', 'pain', 'grief']"
samplenew3_00083127,"['anxiety', 'pressure', 'seriousness', 'emphasis', 'worries']"
samplenew3_00083588,"['serious', 'displeased', 'angry', 'excited']"
samplenew3_00083665,"['sorrow', 'sadness', 'pain', 'grief', 'pleading']"
samplenew3_00085828,"['shocked', 'nervous', 'surprised', 'amazed']"
samplenew3_00088548,"['interesting', 'curious', 'delighted', 'pleasant', 'caring', 'happy', 'relax']"
samplenew3_00089342,"['puzzled', 'confused', 'concerned', 'perplexed', 'surprised']"
samplenew3_00089384,"['curious', 'confused', 'thinking', 'doubtful', 'shocked', 'surprised']"
samplenew3_00090020,"['angry', 'dissatisfied']"
samplenew3_00090533,"['worried', 'joyful', 'relaxed', 'nervous', 'pleading']"
samplenew3_00090931,"['concern', 'anxiety', 'doubt', 'worry']"
samplenew3_00091062,"['sad', 'disappointed']"
samplenew3_00092762,"['resolute', 'angry', 'determined', 'intense']"
samplenew3_00092772,"['displeased', 'irritable', 'angry']"
samplenew3_00092861,"['serious', 'emphasis']"
samplenew3_00093267,"['reflection', 'doubt', 'curiosity']"
samplenew3_00093435,"['encouragement', 'sincerity', 'worry', 'helplessness']"
samplenew3_00094389,"['serious', 'determined']"
samplenew3_00094838,"['worried', 'shocked', 'scared', 'panicked', 'surprised']"
samplenew3_00095550,"['uneasy', 'worried', 'concerned', 'scared', 'anxious']"
samplenew3_00097420,"['serious', 'admiration', 'determined']"
samplenew3_00097536,"['focused', 'confused']"
samplenew3_00098157,"['joy', 'relaxation', 'hesitation', 'happiness']"
samplenew3_00098809,"['concern', 'nervous', 'uneasy', 'worried']"
samplenew3_00098820,"['embarrassment', 'hesitation']"
samplenew3_00099275,['confused']
samplenew3_00099423,"['annoyed', 'questioning', 'irritated', 'angry', 'displeased', 'excited']"
samplenew3_00099530,['worry']
samplenew3_00099717,"['joy', 'friendly', 'delight', 'happy']"
samplenew3_00101695,"['serious', 'apology', 'sincere', 'guilt']"
samplenew3_00101735,"['worried', 'concerned', 'serious', 'distressed', 'nervous', 'anxious']"
samplenew3_00102262,"['care', 'comfort', 'worry']"
samplenew3_00102267,['helpless']
samplenew3_00102898,"['concern', 'anxiety', 'curiosity', 'worry', 'confusion']"
samplenew3_00103511,"['serious', 'impatient']"
samplenew3_00104444,"['serious', 'threat']"
samplenew3_00104457,"['uneasy', 'worried', 'nervous', 'at a loss', 'afraid', 'concerned', 'distressed', 'anxious']"
samplenew3_00104795,"['humorous', 'joyful', 'friendly', 'happy', 'relax']"
samplenew3_00105070,"['serious', 'solemn', 'cautious']"
samplenew3_00106200,"['serious', 'positive', 'contemplative', 'calm']"
samplenew3_00106521,"['resolute', 'strict', 'angry', 'serious', 'firm', 'excited']"
samplenew3_00107006,"['serious', 'confident']"
samplenew3_00108029,"['nervous', 'displeased', 'uneasy', 'worried']"
samplenew3_00108205,"['sad', 'heavy', 'heartache', 'painful']"
samplenew3_00108514,"['confused', 'angry', 'shocked', 'nervous', 'displeased', 'surprised']"
samplenew3_00109300,"['tense', 'worried', 'concerned', 'serious', 'anxious']"
samplenew3_00109302,"['delighted', 'shy', 'gentle', 'looking forward to', 'joyful', 'happy', 'friendly', 'positive', 'nervous']"
samplenew3_00109997,"['perplexed', 'puzzled', 'confused', 'surprised']"
samplenew3_00110123,"['serious', 'helpless', 'refuse']"
samplenew3_00110266,"['worried', 'confused', 'doubtful', 'surprised', 'anxious']"
samplenew3_00110691,"['hesitant', 'joyful', 'happy', 'nervous', 'excited']"
samplenew3_00111584,"['anxious', 'angry', 'excited']"
samplenew3_00111917,"['melancholy', 'distressed', 'worried']"
samplenew3_00112591,"['self-blame', 'melancholy', 'contemplation', 'sadness', 'calm', 'guilt', 'regret']"
samplenew3_00113347,"['anxious', 'worried', 'calm', 'concerned']"
samplenew3_00113581,"['delight', 'excitement', 'curiosity', 'happiness', 'amazement', 'confusion', 'surprise', 'mockery']"
samplenew3_00114298,"['excitement', 'curiosity', 'doubt', 'nervousness', 'shock', 'confusion', 'surprise']"
samplenew3_00114970,"['determined', 'plead', 'worry', 'serious', 'care']"
sample_00000000,"['pleasurable', 'self-deprecating', 'relaxed', 'complaining', 'relieved', 'humorous', 'joyful', 'happy']"
sample_00000007,"['excited', 'joyful', 'happy']"
sample_00000021,"['suspect', 'question', 'doubt']"
sample_00000033,"['pessimism', 'worry']"
sample_00000039,"['angry', 'mad']"
sample_00000055,"['concerned', 'worried', 'serious', 'heavy']"
sample_00000068,"['unease', 'anxiety', 'worry', 'fear', 'sadness', 'nervousness']"
sample_00000070,"['sad', 'depressed']"
sample_00000073,"['excited', 'angry']"
sample_00000114,"['impatient', 'warning', 'angry', 'displeased']"
sample_00000118,"['serious', 'concerned', 'helpless', 'worried', 'thinking']"
sample_00000126,"['angry', 'disappointed']"
sample_00000153,"['surprised', 'relaxed', 'positive', 'joyful', 'pleasant', 'happy']"
sample_00000166,"['surprised', 'uneasy', 'nervous']"
sample_00000174,"['surprised', 'delighted', 'happy']"
sample_00000176,"['concern', 'terror', 'worry', 'fear']"
sample_00000203,"['sad', 'miss', 'nostalgic']"
sample_00000208,"['joyful', 'delighted', 'happy']"
sample_00000209,"['looking forward to', 'joyful', 'happy']"
sample_00000213,"['accusation', 'angry', 'dissatisfaction']"
sample_00000215,"['relaxed', 'agree', 'positive', 'accept', 'pleasant', 'happy']"
sample_00000218,"['impatient', 'excited', 'angry', 'dissatisfied']"
sample_00000220,['surprised']
sample_00000225,"['suspicious', 'angry', 'dissatisfied', 'questioning']"
sample_00000227,"['affirmative', 'positive', 'joyful', 'confident', 'delighted', 'happy']"
sample_00000240,"['surprise', 'admiration', 'shock', 'sympathy']"
sample_00000246,"['concern', 'attention', 'worry']"
sample_00000256,"['regret', 'remorse', 'sadness', 'grief']"
sample_00000258,"['serious', 'thoughtful', 'thinking']"
sample_00000276,['sad']
sample_00000278,"['coquettish', 'joyful', 'positive', 'happy']"
sample_00000286,"['negative', 'disappointed']"
sample_00000294,"['relax', 'joyful', 'positive', 'happy']"
sample_00000296,"['accusation', 'angry', 'negative']"
sample_00000325,"['helplessness', 'pain', 'breakdown', 'sadness']"
sample_00000338,"['anxiety', 'nervousness', 'worry']"
sample_00000342,['surprised']
sample_00000346,"['concerned', 'negative', 'worried']"
sample_00000353,"['uneasy', 'serious', 'heavy', 'concerned', 'nervous', 'worried']"
sample_00000361,"['concern', 'warning']"
sample_00000363,"['nervous', 'worried']"
sample_00000365,"['serious', 'angry', 'disappointed']"
sample_00000368,"['surprised', 'puzzled', 'alert', 'curious', 'confused']"
sample_00000370,"['disappointment', 'sadness', 'negative emotions', 'self-deprecation', 'negativity', 'frustration', 'helplessness', 'dissatisfaction']"
sample_00000385,"['humorous', 'joyful', 'satisfied', 'happy']"
sample_00000388,"['accusation', 'anger', 'blame', 'dissatisfaction']"
sample_00000393,"['questioning', 'warning', 'angry', 'dissatisfaction']"
sample_00000406,"['doubtful', 'confused']"
sample_00000407,"['excited', 'angry']"
sample_00000420,"['humor', 'mockery', 'irony']"
sample_00000433,"['serious', 'worried', 'concerned']"
sample_00000439,"['surprised', 'shocked']"
sample_00000444,"['joyful', 'happy']"
sample_00000447,"['unfairness', 'disappointment', 'sadness', 'dissatisfaction']"
sample_00000461,"['low', 'heavy', 'sad', 'memories', 'contemplation']"
sample_00000476,"['anxiety', 'worry']"
sample_00000493,"['negative', 'angry', 'dissatisfied']"
sample_00000499,"['relaxed', 'caring', 'pleasant', 'friendly', 'happy']"
sample_00000502,"['relieved', 'relaxed', 'joyful', 'happy']"
sample_00000508,"['surprised', 'question']"
sample_00000515,"['angry', 'dissatisfied']"
sample_00000518,"['uneasy', 'serious', 'uncomfortable', 'worried', 'anxious']"
sample_00000519,"['excited', 'angry']"
sample_00000529,"['concern', 'anxiety', 'care', 'worry']"
sample_00000535,"['conflict', 'angry', 'sad', 'excited', 'dissatisfied']"
sample_00000536,"['pain', 'breakdown', 'sadness']"
sample_00000549,"['surprised', 'confused', 'puzzled']"
sample_00000561,"['satisfied', 'positive', 'happy']"
sample_00000569,"['resolute', 'painful', 'serious', 'helpless', 'sad', 'hopeless']"
sample_00000571,"['excited', 'looking forward to', 'joyful', 'happy']"
sample_00000601,"['relaxed', 'shy', 'happy', 'teasing']"
sample_00000602,"['serious', 'nervous', 'angry', 'dissatisfied']"
sample_00000605,"['love', 'relaxed', 'proud', 'joy', 'positive', 'interest', 'confident', 'happy']"
sample_00000607,"['excited', 'joyful', 'satisfied', 'happy']"
sample_00000613,"['hostile', 'provocation', 'angry', 'displeasure']"
sample_00000623,['angry']
sample_00000633,"['relaxed', 'friendly', 'pleasant', 'confident', 'happy']"
sample_00000639,"['impatient', 'angry', 'dissatisfied']"
sample_00000646,"['advice', 'worry', 'concern']"
sample_00000648,"['angry', 'dissatisfied']"
sample_00000653,['sad']
sample_00000665,"['regret', 'guilt', 'sadness']"
sample_00000668,"['doubtful', 'questioning', 'angry', 'dissatisfied']"
sample_00000669,"['nervous', 'surprise', 'dissatisfied']"
sample_00000679,"['praise', 'encouraging', 'positive', 'joyful', 'friendly', 'satisfied', 'happy']"
sample_00000680,"['shy', 'relaxed', 'positive', 'grateful', 'happy']"
sample_00000686,"['joyful', 'positive', 'happy']"
sample_00000689,"['provocation', 'angry', 'impatient', 'complaint', 'dissatisfaction']"
sample_00000694,"['accusation', 'angry', 'sad', 'intense', 'blame', 'dissatisfaction']"
sample_00000716,"['excited', 'angry']"
sample_00000727,"['guilt', 'sadness']"
sample_00000732,"['nostalgia', 'nostalgic', 'sigh']"
sample_00000741,"['shame', 'pain', 'missing', 'guilt', 'exhaustion', 'longing', 'weary', 'self-blame', 'sadness']"
sample_00000774,"['blessing', 'recognition', 'joy', 'praise', 'positive emotion', 'encouragement', 'relaxation', 'happy']"
sample_00000788,"['concerned', 'nervous', 'worried']"
sample_00000808,"['trouble', 'anxiety', 'worry', 'negativity', 'fear', 'distress', 'helplessness']"
sample_00000817,"['coquettish', 'gentle', 'close', 'positive', 'joyful', 'caring', 'happy']"
sample_00000823,"['excited', 'unsatisfied']"
sample_00000839,"['blame', 'dissatisfaction']"
sample_00000855,"['excited', 'angry']"
sample_00000877,"['concern', 'worry']"
sample_00000881,['helpless']
sample_00000884,"['questioning', 'doubt']"
sample_00000894,"['angry', 'disappointed']"
sample_00000906,"['concerned', 'uneasy', 'worried', 'unhappy']"
sample_00000907,"['sadness', 'anger', 'discontent', 'pain']"
sample_00000912,"['concern', 'attention', 'worry']"
sample_00000927,"['excited', 'joyful', 'happy']"
sample_00000956,['surprised']
sample_00000958,"['warm', 'positive', 'happy']"
sample_00000960,"['quarrel', 'serious', 'angry', 'debate', 'displeased', 'unhappy']"
sample_00000972,"['joyful', 'satisfied', 'happy']"
sample_00000980,"['grateful', 'positive', 'happy']"
sample_00000987,"['angry', 'arguing', 'dissatisfied']"
sample_00001000,"['admire', 'appreciate', 'recognize']"
sample_00001009,"['threatened', 'angry', 'furious']"
sample_00001025,"['enjoy', 'relaxed', 'looking forward to', 'happy']"
sample_00001036,"['accusation', 'angry', 'dissatisfaction']"
sample_00001039,"['irritated', 'angry', 'displeased', 'mad', 'refuse', 'impatient']"
sample_00001043,"['excited', 'angry', 'dissatisfied']"
sample_00001049,"['naughty', 'joyful', 'lively', 'pleasant', 'happy']"
sample_00001055,"['angry', 'irritable', 'dissatisfied']"
sample_00001068,"['surprised', 'curious']"
sample_00001072,"['agree', 'positive', 'happy']"
sample_00001073,"['enjoy', 'relax', 'appreciate', 'pleasure', 'like', 'happy']"
sample_00001074,['depressed']
sample_00001089,"['joyful', 'pleasant', 'happy']"
sample_00001090,"['relaxed', 'joyful', 'happy']"
sample_00001097,['curious']
sample_00001101,"['shy', 'relaxed', 'hesitant', 'joyful', 'friendly', 'happy']"
sample_00001110,"['pleased', 'happy']"
sample_00001116,"['worried', 'angry', 'displeased', 'concerned']"
sample_00001119,"['angry', 'accuse', 'severe', 'blame']"
sample_00001126,"['concern', 'negativity', 'worry', 'self-blame']"
sample_00001132,"['confused', 'guessing', 'delighted', 'happy']"
sample_00001142,"['questioning feeling', 'angry', 'dissatisfied']"
sample_00001146,"['pressure', 'negative', 'uneasy', 'surprised']"
sample_00001152,"['pleasant', 'humor', 'happy']"
sample_00001155,"['comforted', 'joyful', 'caring', 'pleased', 'happy']"
sample_00001156,"['nervous', 'worried']"
sample_00001175,"['joyful', 'content', 'satisfied', 'happy']"
sample_00001176,"['angry', 'dissatisfied']"
sample_00001178,"['excited', 'warning', 'angry', 'hysterical']"
sample_00001184,"['relaxed', 'proud', 'happy']"
sample_00001189,"['surprised', 'confused']"
sample_00001192,"['serious', 'sad', 'heavy']"
sample_00001198,"['warning', 'angry', 'threat']"
sample_00001199,"['comfort', 'concern', 'encourage', 'care', 'happy']"
sample_00001203,"['relaxed', 'positive', 'joyful', 'friendly', 'happy']"
sample_00001205,"['worried', 'sad']"
sample_00001215,"['accusation', 'anger', 'irritation', 'displeasure']"
sample_00001245,"['complain', 'doubt', 'disapprove', 'angry', 'dissatisfied']"
sample_00001249,"['angry', 'accuse']"
sample_00001255,"['joyful', 'positive', 'happy']"
sample_00001260,"['low', 'down', 'depressed']"
sample_00001269,"['angry', 'mad']"
sample_00001282,"['angry', 'displeased']"
sample_00001286,"['joy', 'happiness', 'surprise', 'delight', 'incredible']"
sample_00001288,"['pleased', 'happy']"
sample_00001304,"['sadness', 'crying', 'heartbreak', 'pain']"
sample_00001314,"['warning', 'angry', 'threat']"
sample_00001327,"['surprised', 'confused']"
sample_00001334,"['understanding', 'joyful', 'excited', 'comprehension', 'pleasant', 'friendly', 'happy']"
sample_00001337,"['surprised', 'joyful', 'delighted', 'happy', 'amazed']"
sample_00001340,"['frustration', 'anger', 'discontent', 'sadness']"
sample_00001345,"['uneasy', 'troubled', 'nervous', 'worried', 'confused', 'thinking']"
sample_00001346,"['accusation', 'angry', 'displeasure']"
sample_00001347,"['serious', 'tense', 'urgent']"
sample_00001350,"['anxious', 'surprised', 'urgent', 'nervous']"
sample_00001354,"['joyful', 'delighted', 'happy']"
sample_00001371,"['concern', 'nervous', 'worry']"
sample_00001378,"['serious', 'warning', 'worry', 'advice', 'excitement']"
sample_00001383,"['positivity', 'anticipation', 'joy', 'care', 'happiness', 'friendliness', 'hope', 'pleasure']"
sample_00001389,"['angry', 'displeased']"
sample_00001393,"['concern', 'worry']"
sample_00001411,"['excited', 'angry']"
sample_00001416,"['joyful', 'comforted', 'happy']"
sample_00001421,"['angry', 'dissatisfied', 'refuse']"
sample_00001426,"['surprised', 'curious']"
sample_00001433,"['relaxed', 'satisfied', 'joyful', 'delighted', 'happy']"
sample_00001437,"['doubtful', 'surprised', 'curious', 'confused', 'happy']"
sample_00001440,"['angry', 'mad']"
sample_00001453,"['appreciative', 'positive', 'happy']"
sample_00001455,"['emphasize', 'joyful', 'positive', 'happy']"
sample_00001468,"['complain', 'angry', 'blame', 'dissatisfaction']"
sample_00001492,"['accusation', 'angry', 'disappointed']"
sample_00001500,"['concern', 'admonish', 'worry']"
sample_00001515,"['complain', 'heartbroken', 'angry', 'sad', 'dissatisfied']"
sample_00001521,"['concern', 'friendliness', 'inquiry', 'politeness']"
sample_00001539,"['looking forward', 'positive', 'hoping', 'happy']"
sample_00001557,"['heartbroken', 'sad']"
sample_00001580,"['confidence', 'determination']"
sample_00001586,"['shy', 'grateful', 'joyful', 'delighted', 'happy']"
sample_00001589,"['conflict', 'quarrel', 'anger', 'blame', 'dissatisfaction']"
sample_00001614,"['disappointed', 'dissatisfied', 'sad']"
sample_00001619,"['accusation', 'angry']"
sample_00001620,"['negative emotions', 'complaints', 'dissatisfaction']"
sample_00001629,"['positive', 'joyful', 'pleasant', 'pleased', 'happy']"
sample_00001636,"['pain', 'despair', 'contemplation', 'memories', 'helplessness', 'sadness']"
sample_00001641,"['hate', 'angry']"
sample_00001642,"['positive emotions', 'joyful', 'grateful', 'happy']"
sample_00001652,"['concern', 'advice', 'suggestion', 'worry']"
sample_00001655,"['warning', 'angry', 'challenge']"
sample_00001679,"['concern', 'nervous', 'worry']"
sample_00001681,"['accusation', 'anger', 'dissatisfaction', 'questioning']"
sample_00001693,['nervous']
sample_00001697,"['questioning', 'angry', 'dissatisfied']"
sample_00001717,"['sure', 'appreciate it']"
sample_00001720,"['looking forward', 'positive', 'optimistic', 'happy']"
sample_00001731,"['determined', 'angry', 'refuse']"
sample_00001732,"['disappointment', 'concern', 'trouble', 'anxiety', 'worry']"
sample_00001749,"['helplessness', 'dissatisfaction']"
